REGIONE;ANNO;STRUTTURA;Totale valore della produzione (A); 	   Totale costi della produzione (B);Totale proventi e oneri finanziari (C); 	   Totale rettifiche di valore di attivita' finanziarie (D);Totale proventi e oneri straordinari (E); 	   Totale imposte e tasse;RISULTATO DI ESERCIZIO
MARCHE;2003;ASL JESI;156808;158298;-493;0;-227;3700;-5910
MARCHE;2003;ASL FABRIANO;73853;75086;-23;0;-762;1978;-3996
MARCHE;2003;ASL ANCONA;331981;363064;-717;0;-2331;4045;-38176
MARCHE;2003;ASL CIVITANOVA MARCHE;180939;180198;1;0;185;3175;-2248
MARCHE;2003;ASL MACERATA;206652;200382;-65;0;-1305;4906;-6
MARCHE;2003;ASL CAMERINO;84794;82673;14;0;-840;2135;-840
MARCHE;2003;ASL FERMO;212678;211971;-194;0;-1259;4533;-5279
MARCHE;2003;ASL S. BENEDETTO DEL TRONTO;144749;140325;-21;0;-1834;2943;-374
MARCHE;2003;ASL ASCOLI PICENO;181317;184382;-151;0;-81;4415;-7712
MARCHE;2003;A.O. TORRETTE - UMBERTO I;189279;189365;-1163;0;1087;6470;-6632
MARCHE;2003;A.O. OSPEDALE PEDIATRICO SALESI;38407;39511;-13;0;-152;1645;-2914
MARCHE;2003;A.O. OSPEDALE LANCISI;45621;44414;-34;0;170;1327;16
MARCHE;2003;CONSOLIDATO REGIONALE;2204868;2199450;-3228;0;-18606;56882;-73298
MARCHE;2003;IST. NAZIONALE DI RIPOSO E CURA PER ANZIANI - INRCA;38252;41581;-68;0;12;1825;-5210
MARCHE;2003;A.O. OSPEDALE S. SALVATORE;97694;101423;-84;0;708;3633;-6738
MARCHE;2001;ASL PESARO;156278;159821;-23;0;-1461;1942;-6969
MARCHE;2001;ASL URBINO;111926;111518;-63;0;-2723;2537;-4915
MARCHE;2001;ASL FANO;161369;160419;-122;0;-1094;4043;-4309
MARCHE;2001;ASL SENIGALLIA;106425;106251;-46;0;-1212;2722;-3806
MARCHE;2001;ASL JESI;141333;148178;-399;0;-1802;3624;-12670
MARCHE;2001;ASL FABRIANO;65983;72912;-73;0;269;1931;-8664
MARCHE;2001;ASL ANCONA;336793;330865;-408;0;-1314;4206;0
MARCHE;2001;ASL CIVITANOVA MARCHE;162564;161692;-52;0;-1277;3094;-3551
MARCHE;2001;ASL MACERATA;194601;192135;-282;0;-2486;1421;-1723
MARCHE;2001;ASL CAMERINO;79647;79673;-13;0;-1010;1930;-2979
MARCHE;2001;ASL FERMO;191307;200826;-342;0;63;4850;-14648
MARCHE;2001;ASL S. BENEDETTO DEL TRONTO;130261;130104;-7;0;-2633;2766;-5249
MARCHE;2001;ASL ASCOLI PICENO;165090;169118;-215;0;66;4216;-8393
MARCHE;2001;AO TORRETTE - UMBERTO I;170786;170305;-682;0;-622;5852;-6675
MARCHE;2001;AO OSPEDALE PEDIATRICO SALESI;35126;35760;-22;0;43;1505;-2118
MARCHE;2001;AO OSPEDALE LANCISI;45214;42303;-29;0;747;1296;2333
MARCHE;2001;AO OSPEDALE S. SALVATORE;82593;94398;-124;0;-143;3578;-15650
MARCHE;2006;ACCENTRATA REGIONALE;223765;26840;15;0;-19;90;196831
MARCHE;2006;OSPEDALE S. SALVATORE;103402;115319;-197;0;-249;4231;-16594
MARCHE;2006;CONSOLIDATO REGIONALE;2612660;2581453;-10037;0;-6610;69633;-55073
MARCHE;2006;ASUR;2287460;2399501;-7757;0;-4491;51536;-175825
MARCHE;2006;OSP.RIUN. UMBERTO I-G.M.LANCISI-G.SALESI;293013;317917;-1607;0;-1988;11311;-39810
MARCHE;2006;INRCA MARCHE;42330;59185;-491;0;139;2465;-19672
MARCHE;2007;ACCENTRATA REGIONALE;41107;35468;27;0;-15;128;5523
MARCHE;2007;OSPEDALE S. SALVATORE;124903;120852;-96;0;284;4230;9
MARCHE;2007;CONSOLIDATO REGIONALE;2751466;2665504;-10157;0;547;69678;6674
MARCHE;2007;ASUR;2530249;2468750;-9273;0;-319;51848;59
MARCHE;2007;OSP.RIUN. UMBERTO I-G.M.LANCISI-G.SALESI;340853;329310;-815;0;637;11277;88
MARCHE;2007;INRCA MARCHE;56806;53577;0;0;-40;2195;994
MARCHE;2004;ACCENTRATA REGIONALE;144433;28557;17;0;-2;115;115776
MARCHE;2004;ASL PESARO;185607;187477;-20;0;-250;2031;-4171
MARCHE;2004;ASL URBINO;126929;143187;-584;0;-680;3095;-20617
MARCHE;2004;ASL FANO;184579;193358;-58;0;-686;4375;-13898
MARCHE;2004;ASL SENIGALLIA;120040;124572;-98;0;-889;2984;-8503
MARCHE;2004;ASL JESI;160896;172390;-78;0;461;3807;-14918
MARCHE;2004;ASL FABRIANO;74317;81789;-6;0;-731;2037;-10246
MARCHE;2004;ASL ANCONA;328827;390595;-721;0;2527;4183;-64145
MARCHE;2004;ASL CIVITANOVA MARCHE;189853;197799;-14;0;-676;3137;-11773
MARCHE;2004;ASL MACERATA;217919;215638;-19;0;-644;5247;-3629
MARCHE;2004;ASL CAMERINO;86829;90726;23;0;-617;2135;-6626
MARCHE;2004;ASL FERMO;217480;227818;-120;0;1202;4630;-13886
MARCHE;2004;ASL S. BENEDETTO DEL TRONTO;149081;154027;-96;0;-365;3054;-8461
MARCHE;2004;ASL ASCOLI PICENO;186102;202635;-214;0;-2092;4745;-23584
MARCHE;2004;A.S.U.R. - Azienda Sanitaria Unica Regionale;4701;4753;0;0;0;35;-87
MARCHE;2004;CONSOLIDATO REGIONALE;2340096;2411811;-3455;0;-13483;61841;-150494
MARCHE;2004;IST. NAZIONALE DI RIPOSO E CURA PER ANZIANI - INRCA;38853;43487;-230;0;-446;1949;-7259
MARCHE;2004;A.O. OSPEDALE S. SALVATORE;98262;108311;-82;0;-1957;4014;-16102
MARCHE;2005;ACCENTRATA REGIONALE;244051;26675;12;0;-2;208;217178
MARCHE;2005;PESARO;195576;194776;-58;0;80;2088;-1266
MARCHE;2005;URBINO;132378;145045;-340;0;1647;3315;-14675
MARCHE;2005;FANO;194268;202764;-79;0;232;4716;-13059
MARCHE;2005;SENIGALLIA;124840;130514;-87;0;446;3136;-8451
MARCHE;2005;JESI;166988;180618;-190;0;9;4087;-17898
MARCHE;2005;FABRIANO;77562;84692;-14;0;74;2191;-9261
MARCHE;2005;ANCONA;353788;401670;-693;0;2112;4455;-50918
MARCHE;2005;CIVITANOVA MARCHE;198955;205810;-66;0;-193;3562;-10676
MARCHE;2005;MACERATA;229460;224310;-232;0;535;5457;-4
MARCHE;2005;CAMERINO;89780;93571;0;0;274;2346;-5863
MARCHE;2005;FERMO;227743;232757;-165;0;344;4882;-9717
MARCHE;2005;S. BENEDETTO DEL TRONTO;158118;159903;-47;0;528;3192;-4496
MARCHE;2005;ASCOLI PICENO;194137;211874;-297;0;43;5019;-23010
MARCHE;2005;CONSOLIDATO REGIONALE;2541523;2495305;-4548;0;8025;65783;-16088
MARCHE;2005;OSP.RIUN. UMBERTO I-G.M.LANCISI-G.SALESI;285152;310010;-1318;0;-17;10741;-36934
MARCHE;2005;OSPEDALE GERIATRICO U. SESTILI;36031;43619;-261;0;2;1908;-9755
MARCHE;2005;OSPEDALE S. SALVATORE;98701;109724;-88;0;1831;4024;-13304
MARCHE;2008;ACCENTRATA REGIONALE;47517;32151;0;0;0;0;15366
MARCHE;2008;OSPEDALE S. SALVATORE;128183;126068;-23;0;2324;4336;80
MARCHE;2008;CONSOLIDATO REGIONALE;2867977;2783166;-2399;0;8285;70754;19943
MARCHE;2008;ASUR;2626131;2574635;-1942;0;8011;53206;4359
MARCHE;2008;OSP.RIUN. UMBERTO I-G.M.LANCISI-G.SALESI;353413;339284;-434;0;-2485;11109;101
MARCHE;2008;INRCA MARCHE;59152;57105;0;0;93;2103;37
MARCHE;2009;ACCENTRATA REGIONALE;34138;34626;0;0;0;0;-488
MARCHE;2009;OSPEDALE S. SALVATORE;138416;133896;107;0;80;4579;128
MARCHE;2009;CONSOLIDATO REGIONALE;2967210;2893451;60;0;364;74105;78
MARCHE;2009;ASUR;2735996;2672804;-292;0;-6872;55807;221
MARCHE;2009;OSP.RIUN. UMBERTO I-G.M.LANCISI-G.SALESI;355981;352399;245;0;7782;11504;105
MARCHE;2009;INRCA MARCHE;61645;59208;0;0;-117;2215;105
MARCHE;2010;ACCENTRATA REGIONALE;38709;59622;0;0;0;0;-20913
MARCHE;2010;OSPEDALE S. SALVATORE;141932;137019;121;0;-298;4731;5
MARCHE;2010;CONSOLIDATO REGIONALE;3007574;2945916;77;0;-6078;76551;-20894
MARCHE;2010;ASUR;2750281;2687308;-252;0;-4980;57737;4
MARCHE;2010;OSP.RIUN. UMBERTO I-G.M.LANCISI-G.SALESI;376278;364303;208;0;-407;11770;6
MARCHE;2010;INRCA MARCHE;62533;59920;0;0;-296;2313;4
FRIULI VENEZIA GIULIA;2002;ASL TRIESTINA;326943;324940;-58;0;1751;3260;436
FRIULI VENEZIA GIULIA;2002;ASL ISONTINA;208321;202838;12;0;1027;6048;474
FRIULI VENEZIA GIULIA;2002;ASL ALTO FRIULI;122674;119692;-30;0;130;3031;51
FRIULI VENEZIA GIULIA;2002;ASL MEDIO FRIULI;422064;424327;49;0;1428;641;-1427
FRIULI VENEZIA GIULIA;2002;ASL BASSA FRIULANA;158011;155759;7;0;927;225;2961
FRIULI VENEZIA GIULIA;2002;ASL FRIULI OCCIDENTALE;342425;338175;-113;0;1081;5517;-299
FRIULI VENEZIA GIULIA;2002;A.O. SANTA MARIA MISERICORDIA;206657;202249;9;0;3003;7646;-226
FRIULI VENEZIA GIULIA;2002;A.O. OSPEDALI RIUNITI;194765;187340;-15;0;2104;7620;1894
FRIULI VENEZIA GIULIA;2002;A.O. SANTA MARIA DEGLI ANGELI;123919;118879;-15;0;-85;4864;76
FRIULI VENEZIA GIULIA;2003;ACCENTRATA REGIONALE;58982;59442;368;0;423;286;45
FRIULI VENEZIA GIULIA;2003;ASL TRIESTINA;336896;335503;2;0;2216;3380;231
FRIULI VENEZIA GIULIA;2003;ASL ISONTINA;213500;208279;0;0;1555;6107;669
FRIULI VENEZIA GIULIA;2003;ASL ALTO FRIULI;124849;123024;-32;0;1318;3099;12
FRIULI VENEZIA GIULIA;2003;ASL MEDIO FRIULI;443111;451085;55;0;1334;620;-7205
FRIULI VENEZIA GIULIA;2003;ASL BASSA FRIULANA;162045;163646;-26;0;1820;187;6
FRIULI VENEZIA GIULIA;2003;ASL FRIULI OCCIDENTALE;356133;351875;-75;0;2154;5510;827
FRIULI VENEZIA GIULIA;2003;CONSOLIDATO REGIONALE;1842475;1829615;254;0;16493;39554;-9947
FRIULI VENEZIA GIULIA;2003;A.O. SANTA MARIA MISERICORDIA;215177;213859;-1;0;532;7610;-5761
FRIULI VENEZIA GIULIA;2003;A.O. OSPEDALI RIUNITI;199152;195477;-13;0;4080;7731;11
FRIULI VENEZIA GIULIA;2003;A.O. SANTA MARIA DEGLI ANGELI;127577;122225;-24;0;-3;5024;301
FRIULI VENEZIA GIULIA;2003;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;57020;54330;17;0;-174;1830;703
FRIULI VENEZIA GIULIA;2003;IST. BURLO GAROFALO - TRIESTE;51319;50187;-9;0;952;2027;48
FRIULI VENEZIA GIULIA;2001;ASL TRIESTINA;294521;302610;-6;0;76;3009;-11028
FRIULI VENEZIA GIULIA;2001;ASL ISONTINA;189306;190213;0;0;420;6162;-6649
FRIULI VENEZIA GIULIA;2001;ASL ALTO FRIULI;111223;110859;-22;0;-283;3135;-3076
FRIULI VENEZIA GIULIA;2001;ASL MEDIO FRIULI;385622;393747;36;0;437;5150;-12802
FRIULI VENEZIA GIULIA;2001;ASL BASSA FRIULANA;144554;147361;-87;0;-494;310;-3698
FRIULI VENEZIA GIULIA;2001;ASL FRIULI OCCIDENTALE;307294;312663;-143;0;431;5148;-10229
FRIULI VENEZIA GIULIA;2001;AO SANTA MARIA MISERICORDIA;189853;183460;-9;0;392;7309;-533
FRIULI VENEZIA GIULIA;2001;AO OSPEDALI RIUNITI;183760;176283;-134;0;3281;7415;3209
FRIULI VENEZIA GIULIA;2001;AO SANTA MARIA DEGLI ANGELI;116303;111770;-48;0;-321;4806;-642
FRIULI VENEZIA GIULIA;2006;ACCENTRATA REGIONALE;70942;70280;310;0;-57;184;731
FRIULI VENEZIA GIULIA;2006;TRIESTINA;380733;376683;247;0;-526;3741;30
FRIULI VENEZIA GIULIA;2006;ISONTINA;249279;237245;31;0;-5473;6592;0
FRIULI VENEZIA GIULIA;2006;ALTO FRIULI;144725;138528;-20;0;-2430;3744;3
FRIULI VENEZIA GIULIA;2006;MEDIO FRIULI;525179;518676;8;0;-5211;681;619
FRIULI VENEZIA GIULIA;2006;BASSA FRIULANA;191503;188470;10;0;-2838;205;0
FRIULI VENEZIA GIULIA;2006;FRIULI OCCIDENTALE;424850;414682;-5;0;-4082;6081;0
FRIULI VENEZIA GIULIA;2006;CONSOLIDATO REGIONALE;2131049;2062619;501;0;-22615;44874;1442
FRIULI VENEZIA GIULIA;2006;SANTA MARIA DEGLI ANGELI;152787;142007;-57;0;-5105;5618;0
FRIULI VENEZIA GIULIA;2006;AZ.OSP.UNIV. OSPEDALI RIUNITI DI TRIESTE;228005;223090;4;0;3957;8839;37
FRIULI VENEZIA GIULIA;2006;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;71543;67564;-19;0;-1893;2067;0
FRIULI VENEZIA GIULIA;2006;ISTITUTO PER L`INFANZIA - BURLO GAROFOLO;59034;58118;-9;0;1558;2465;0
FRIULI VENEZIA GIULIA;2007;ACCENTRATA REGIONALE;35221;34551;1376;0;17;186;1877
FRIULI VENEZIA GIULIA;2007;TRIESTINA;389434;385609;228;0;1566;3710;1909
FRIULI VENEZIA GIULIA;2007;ISONTINA;248952;243257;34;0;902;6554;77
FRIULI VENEZIA GIULIA;2007;ALTO FRIULI;150154;145286;-19;0;887;3783;1953
FRIULI VENEZIA GIULIA;2007;MEDIO FRIULI;540589;533317;16;0;1289;813;7764
FRIULI VENEZIA GIULIA;2007;BASSA FRIULANA;193173;192478;20;0;562;216;1061
FRIULI VENEZIA GIULIA;2007;FRIULI OCCIDENTALE;429628;423197;16;0;1979;6157;2269
FRIULI VENEZIA GIULIA;2007;CONSOLIDATO REGIONALE;2340333;2285438;1590;0;14157;51990;18652
FRIULI VENEZIA GIULIA;2007;SANTA MARIA DEGLI ANGELI;156991;151079;-51;0;53;5882;32
FRIULI VENEZIA GIULIA;2007;AZ.OSP.UNIV. OSPEDALI RIUNITI DI TRIESTE;235451;230210;3;0;4354;9032;566
FRIULI VENEZIA GIULIA;2007;AZ. OSPEDALIERO-UNIVERSITARIA DI UDINE;328263;317942;3;0;997;11136;185
FRIULI VENEZIA GIULIA;2007;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;75274;73033;-26;0;-6;2147;62
FRIULI VENEZIA GIULIA;2007;ISTITUTO PER L`INFANZIA - BURLO GAROFOLO;60491;58563;-10;0;1557;2374;1101
FRIULI VENEZIA GIULIA;2004;ACCENTRATA REGIONALE;125380;93063;543;0;-32177;196;487
FRIULI VENEZIA GIULIA;2004;ASL TRIESTINA;354934;353172;0;0;1489;3531;-280
FRIULI VENEZIA GIULIA;2004;ASL ISONTINA;225642;220329;7;0;1090;6394;16
FRIULI VENEZIA GIULIA;2004;ASL ALTO FRIULI;135924;132820;-23;0;1081;3277;885
FRIULI VENEZIA GIULIA;2004;ASL MEDIO FRIULI;473479;475582;53;0;1157;617;-1510
FRIULI VENEZIA GIULIA;2004;ASL BASSA FRIULANA;174229;174427;3;0;746;196;355
FRIULI VENEZIA GIULIA;2004;ASL FRIULI OCCIDENTALE;379359;376428;-21;0;1540;5676;-1226
FRIULI VENEZIA GIULIA;2004;CONSOLIDATO REGIONALE;2017840;1990074;553;0;14102;44616;-2195
FRIULI VENEZIA GIULIA;2004;A.O. SANTA MARIA MISERICORDIA;232693;226076;11;0;1497;7972;153
FRIULI VENEZIA GIULIA;2004;A.O. SANTA MARIA DEGLI ANGELI;134280;130137;-16;0;16;5250;-1107
FRIULI VENEZIA GIULIA;2004;A.O. UNIV - TRIESTE;176259;172435;7;0;3501;7300;32
FRIULI VENEZIA GIULIA;2004;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;61306;60078;-3;0;648;1873;0
FRIULI VENEZIA GIULIA;2004;IST. BURLO GAROFALO - TRIESTE;54711;53659;-8;0;1290;2334;0
FRIULI VENEZIA GIULIA;2005;ACCENTRATA REGIONALE;46278;45971;367;0;22;201;495
FRIULI VENEZIA GIULIA;2005;TRIESTINA;378592;373623;328;0;849;3576;2570
FRIULI VENEZIA GIULIA;2005;ISONTINA;234111;226566;0;0;147;6459;1233
FRIULI VENEZIA GIULIA;2005;ALTO FRIULI;141718;137585;-24;0;180;3432;857
FRIULI VENEZIA GIULIA;2005;MEDIO FRIULI;513649;510144;212;0;987;719;3985
FRIULI VENEZIA GIULIA;2005;BASSA FRIULANA;180714;181065;11;0;2336;210;1786
FRIULI VENEZIA GIULIA;2005;FRIULI OCCIDENTALE;409747;403188;1;0;1755;5978;2337
FRIULI VENEZIA GIULIA;2005;SANTA MARIA MISERICORDIA;244138;237229;-2;0;1725;8251;381
FRIULI VENEZIA GIULIA;2005;SANTA MARIA DEGLI ANGELI;138928;133652;-19;0;-240;5335;-318
FRIULI VENEZIA GIULIA;2005;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;65940;62581;3;0;-30;1960;1372
FRIULI VENEZIA GIULIA;2005;CONSOLIDATO REGIONALE;2146344;2098111;853;0;13067;46998;15155
FRIULI VENEZIA GIULIA;2005;ISTITUTO PER L`INFANZIA - BURLO GAROFOLO;55966;54881;-26;0;1321;2370;10
FRIULI VENEZIA GIULIA;2008;ACCENTRATA REGIONALE;56166;56225;2548;0;-5;166;2318
FRIULI VENEZIA GIULIA;2008;TRIESTINA;404728;400092;53;0;-506;3740;443
FRIULI VENEZIA GIULIA;2008;ISONTINA;259566;252555;15;0;-281;6727;18
FRIULI VENEZIA GIULIA;2008;ALTO FRIULI;157194;150429;-5;0;6;3928;2838
FRIULI VENEZIA GIULIA;2008;MEDIO FRIULI;566551;563156;3;0;1457;322;4533
FRIULI VENEZIA GIULIA;2008;BASSA FRIULANA;198490;199903;-36;0;139;131;-1441
FRIULI VENEZIA GIULIA;2008;FRIULI OCCIDENTALE;452062;443868;41;0;-23;6318;1894
FRIULI VENEZIA GIULIA;2008;CONSOLIDATO REGIONALE;2487959;2423727;2604;0;1917;53087;15666
FRIULI VENEZIA GIULIA;2008;SANTA MARIA DEGLI ANGELI;168538;162006;-29;0;-194;6177;132
FRIULI VENEZIA GIULIA;2008;AZ.OSP.UNIV. OSPEDALI RIUNITI DI TRIESTE;251468;242077;3;0;-294;9083;17
FRIULI VENEZIA GIULIA;2008;AZ. OSPEDALIERO-UNIVERSITARIA DI UDINE;350785;339146;4;0;489;11670;462
FRIULI VENEZIA GIULIA;2008;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;83756;78827;14;0;1159;2241;3861
FRIULI VENEZIA GIULIA;2008;ISTITUTO PER L`INFANZIA - BURLO GAROFOLO;67123;63911;-7;0;-30;2584;591
FRIULI VENEZIA GIULIA;2009;ACCENTRATA REGIONALE;55773;55645;740;0;1110;129;1849
FRIULI VENEZIA GIULIA;2009;TRIESTINA;415956;411214;489;0;-538;4152;541
FRIULI VENEZIA GIULIA;2009;ISONTINA;271899;267115;473;0;1716;6953;20
FRIULI VENEZIA GIULIA;2009;ALTO FRIULI;163914;158313;590;0;-375;4112;1704
FRIULI VENEZIA GIULIA;2009;MEDIO FRIULI;592652;581579;659;0;-639;7507;3586
FRIULI VENEZIA GIULIA;2009;BASSA FRIULANA;209863;204646;324;0;388;5011;918
FRIULI VENEZIA GIULIA;2009;FRIULI OCCIDENTALE;475957;467687;391;0;2209;6666;4204
FRIULI VENEZIA GIULIA;2009;CONSOLIDATO REGIONALE;2580965;2510383;4967;0;3918;66660;12807
FRIULI VENEZIA GIULIA;2009;SANTA MARIA DEGLI ANGELI;173589;171288;143;0;71;6376;-3861
FRIULI VENEZIA GIULIA;2009;AZ.OSP.UNIV. OSPEDALI RIUNITI DI TRIESTE;261931;252909;286;0;-258;9007;43
FRIULI VENEZIA GIULIA;2009;AZ. OSPEDALIERO-UNIVERSITARIA DI UDINE;364772;352913;671;0;685;11797;1418
FRIULI VENEZIA GIULIA;2009;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;86082;82010;123;0;264;2340;2119
FRIULI VENEZIA GIULIA;2009;ISTITUTO PER L`INFANZIA - BURLO GAROFOLO;69169;66349;78;0;-22;2610;266
FRIULI VENEZIA GIULIA;2010;ACCENTRATA REGIONALE;4582;4531;-51;0;0;0;0
FRIULI VENEZIA GIULIA;2010;TRIESTINA;424041;420646;424;0;391;4202;8
FRIULI VENEZIA GIULIA;2010;ISONTINA;277030;269316;286;0;-741;6805;454
FRIULI VENEZIA GIULIA;2010;ALTO FRIULI;172650;167978;623;0;-523;4035;737
FRIULI VENEZIA GIULIA;2010;MEDIO FRIULI;606582;597154;561;0;799;7629;3159
FRIULI VENEZIA GIULIA;2010;BASSA FRIULANA;218066;212966;530;0;412;5017;1025
FRIULI VENEZIA GIULIA;2010;FRIULI OCCIDENTALE;480411;475232;273;0;-1371;6518;-2437
FRIULI VENEZIA GIULIA;2010;CONSOLIDATO REGIONALE;2617385;2547743;4143;0;3514;66668;10631
FRIULI VENEZIA GIULIA;2010;SANTA MARIA DEGLI ANGELI;187668;180904;128;0;-284;6489;119
FRIULI VENEZIA GIULIA;2010;AZ.OSP.UNIV. OSPEDALI RIUNITI DI TRIESTE;272821;263815;357;0;-338;8921;104
FRIULI VENEZIA GIULIA;2010;AZ. OSPEDALIERO-UNIVERSITARIA DI UDINE;417176;405467;801;0;5061;12085;5486
FRIULI VENEZIA GIULIA;2010;IST. DIAGNOSI CURA CENTRO RIF.ONCOLOGICO;88741;84591;41;0;95;2368;1918
FRIULI VENEZIA GIULIA;2010;ISTITUTO PER L`INFANZIA - BURLO GAROFOLO;69191;66553;38;0;-12;2599;65
TOSCANA;2002;ASL MASSA CARRARA;314924;320180;-318;0;955;8444;-13063
TOSCANA;2002;ASL LUCCA;306330;319368;-546;0;3450;8350;-18484
TOSCANA;2002;ASL PISTOIA;368958;377572;-277;0;1486;8551;-15956
TOSCANA;2002;ASL PRATO;303992;296625;-361;0;-508;6645;-147
TOSCANA;2002;ASL PISA;418507;415279;-156;0;3388;6460;0
TOSCANA;2002;ASL LIVORNO;483954;479328;-394;0;604;11238;-6402
TOSCANA;2002;ASL SIENA;365343;365810;-127;0;4190;6727;-3131
TOSCANA;2002;ASL AREZZO;454419;446195;-94;0;3411;11496;45
TOSCANA;2002;ASL GROSSETO;300885;317303;-978;16;-2270;8878;-28528
TOSCANA;2002;ASL FIRENZE;1135848;1142484;-561;0;17480;21771;-11488
TOSCANA;2002;ASL EMPOLI;281350;277303;124;0;-1977;6851;-4657
TOSCANA;2002;ASL VERSILIA;232853;237629;-260;0;-551;5501;-11088
TOSCANA;2002;A.O. MEYER;45336;43745;-10;0;319;1802;98
TOSCANA;2002;A.O. CAREGGI;438041;429172;-483;0;7481;15840;27
TOSCANA;2002;A.O. SPEDALI RIUNITI;172849;180712;-441;9882;4855;6433;0
TOSCANA;2002;AZIENDA OSPEDALIERA PISANA;390954;380300;-157;0;1725;12359;-137
TOSCANA;2003;ACCENTRATA REGIONALE;78421;78421;0;0;0;0;0
TOSCANA;2003;ASL MASSA CARRARA;327678;318316;-513;0;-81;8721;47
TOSCANA;2003;ASL LUCCA;329088;324838;-489;0;-867;8212;-5318
TOSCANA;2003;ASL PISTOIA;387380;379685;-481;0;1112;8187;139
TOSCANA;2003;ASL PRATO;318605;311622;-115;0;-35;6888;-55
TOSCANA;2003;ASL PISA;425109;426564;-200;0;8144;6489;0
TOSCANA;2003;ASL LIVORNO;503583;490817;-445;0;-125;12246;-50
TOSCANA;2003;ASL SIENA;372584;372165;-12;0;813;7163;-5943
TOSCANA;2003;ASL AREZZO;478826;465413;25;0;-1106;12271;61
TOSCANA;2003;ASL GROSSETO;321336;320396;-923;0;8401;8406;12
TOSCANA;2003;ASL FIRENZE;1186946;1170533;-320;0;1322;21452;-4037
TOSCANA;2003;ASL EMPOLI;294198;283889;0;0;-1901;7301;1107
TOSCANA;2003;ASL VERSILIA;251134;246146;-169;0;548;5428;-61
TOSCANA;2003;A.O. MEYER;48304;47113;19;0;647;1834;23
TOSCANA;2003;A.O. CAREGGI;461304;447369;-629;0;2514;15821;-1
TOSCANA;2003;A.O. SPEDALI RIUNITI;191717;190753;-482;0;6158;6635;5
TOSCANA;2003;CONSOLIDATO REGIONALE;5468839;5355535;-5520;0;27270;150108;-15054
TOSCANA;2003;INRCA - FIRENZE;4471;5806;-63;0;-54;271;-1723
TOSCANA;2003;AZIENDA OSPEDALIERA PISANA;413025;401894;-786;0;1726;13054;-983
TOSCANA;2001;ASL MASSA CARRARA;298527;300409;-414;-26;876;8200;-9646
TOSCANA;2001;ASL LUCCA;296734;301640;-519;0;-855;7922;-14202
TOSCANA;2001;ASL PISTOIA;358379;361046;-249;0;742;8360;-10534
TOSCANA;2001;ASL PRATO;284045;276477;-290;0;-564;6576;138
TOSCANA;2001;ASL PISA;397211;397237;-154;0;2312;6060;-3928
TOSCANA;2001;ASL LIVORNO;460668;454882;-630;0;-173;11353;-6370
TOSCANA;2001;ASL SIENA;352442;351470;-128;0;3289;6708;-2575
TOSCANA;2001;ASL AREZZO;431847;419790;49;0;-1006;11067;33
